	shaking_mean	t00_mean	theta	prob	log2FC	length
HVO_RS15770	8639.13826621228	7988.11806081756	0.0434839726607791	0.198902468013053	0.113031758789558	374
HVO_RS15840	66.6735293468973	1402.36141490247	-0.777706907531348	0.926746380504188	-4.39460029883499	398
HVO_RS15990	261.652849772941	289.065530488067	-0.030466333743795	0.0710637323101293	-0.143742613390237	1241
HVO_RS16010	86.2451136910455	637.294231264183	-0.485797587888108	0.810549374351059	-2.88544497487135	803
HVO_RS16125	2739.35429693262	2433.60454613638	0.101071866386461	0.288756827359016	0.170741117185549	377
HVO_RS16415	111.284468080604	680.753684008	-0.457569742860667	0.780591678670301	-2.61288063418539	893
HVO_RS16505	2299.81010644461	4993.68421179013	-0.448231933377319	0.769849680875923	-1.11858984782778	188
HVO_RS16635	44102.113181723	29327.8042270224	0.234504006959483	0.406817095286932	0.588578724572616	188
HVO_RS16710	NA	NA	NA	NA	NA	326
HVO_RS16735	114.941625666732	445.482963447933	-0.348357456418744	0.575460003178426	-1.95446890092687	917
HVO_RS16740	352.553954405179	361.086779930911	-0.00668173472151618	0.110901595301272	-0.0345015388556848	626
HVO_RS16790	559.410419195088	470.196546928437	0.0541722915404295	0.216928487167255	0.250643180676824	569
HVO_RS16820	2467.03883978703	5297.91469125347	-0.453391824921138	0.77584260293718	-1.10264418428607	209
HVO_RS16925	30.0691086105863	552.61370607048	-0.657974175719278	0.913427599167067	-4.19991733928528	1010
HVO_RS16965	424.909996236398	301.069884982856	0.0959896908858004	0.281661350877487	0.49705887692498	1469
HVO_RS16970	1224.05361492047	990.060940185404	0.0808964378840693	0.25952689841258	0.306077517337908	497
HVO_RS16975	1328.32117715293	1071.2399956189	0.0840320126476443	0.264250153308905	0.310322289701575	464
HVO_RS16980	867.074994257815	693.144137275573	0.0688623977509163	0.240835643721423	0.323001391373462	644
HVO_RS16985	1249.81360387175	950.588657735821	0.113976082240725	0.305901995906436	0.394819855769386	554
HVO_RS16990	1997.89853498707	1536.04885802141	0.172107910215798	0.36581466126551	0.379259211019859	455
HVO_RS17000	1337.17027311067	1119.11275437996	0.0824882037053455	0.261932193826045	0.256827787570983	536
HVO_RS17005	1623.50496298747	1311.48389702599	0.0884886760478055	0.27085280540217	0.307911701220057	392
HVO_RS17010	3987.40086549245	3320.04736864612	0.113074745194208	0.304746740541183	0.264244825816553	176
HVO_RS17015	1444.71950074308	1203.56618316899	0.0903189553448797	0.273526125886499	0.263473937043416	518
HVO_RS17020	754.228654741452	613.99071112135	0.0621067876358517	0.229978095689822	0.296785132889812	743
HVO_RS17025	1605.98775083611	1368.32284881606	0.0636008723429344	0.232401148951803	0.231052222252799	356
HVO_RS17030	1375.47428337457	1143.45665800133	0.0670072859032621	0.237879005997212	0.266527484138155	398
HVO_RS17040	1497.24874062934	1550.02545472502	-0.0186079181478288	0.0904448506092211	-0.0499779889921496	431
HVO_RS17045	7670.43663616702	6227.56215902016	0.1750556809334	0.368121128381317	0.300641188358066	212
HVO_RS17050	703.543268166469	562.156173366673	0.0742768533054337	0.249352114300388	0.323668169269539	914
HVO_RS17055	1567.5547467339	1274.83706365598	0.100052520406713	0.287348930456	0.298202961254116	461
HVO_RS17060	1684.63689387145	1335.7280335909	0.107263751981916	0.297143803160444	0.334811375014491	422
HVO_RS17065	867.034269581514	717.217962919571	0.0687643041385289	0.240679953308874	0.273677395832378	725
HVO_RS17070	2811.9066409653	2333.40802501434	0.108437045134157	0.298701146272927	0.269110093509404	251
HVO_RS17075	743.848690701625	629.191584161592	0.0524430044119323	0.214044265509276	0.241509812772602	746
HVO_RS17080	596.721367888871	470.552295901027	0.0735505151650644	0.248219209711023	0.342702369963699	1016
HVO_RS17085	978.811902197184	1036.65033639735	-0.0306945780683294	0.0707023887780355	-0.0828258035758258	842
HVO_RS17200	283.848957552213	260.037642751616	0.0279302012601767	0.171956530660499	0.126402962007065	1259
HVO_RS17370	320.448476182541	115.435200479117	0.28610279061327	0.433270390651063	1.47300918711309	1649
HVO_RS17375	265.496143113615	223.843351850987	0.0411393618731746	0.194889152084143	0.246201432195255	917
HVO_RS17380	1975.76142873911	1585.46724033932	0.0814194071127898	0.260319044427847	0.317500685308959	320
HVO_RS17530	780.499057206784	609.077543652407	0.0890838276344722	0.271724740479573	0.357770975475661	686
HVO_RS20305	15886.2741453608	14012.1179809213	0.0859771807626599	0.267147786527944	0.181105764162204	176
HVO_RS17855	19076.6719827204	16917.9648593244	0.0706832074297606	0.243718137158157	0.173253477799107	230
HVO_RS17925	4023.31219072768	3289.80824601288	0.14893763730587	0.345405412963398	0.290380193244988	362
HVO_RS17930	6581.87524877531	5239.60249420072	0.205653124666114	0.38938440406786	0.329041317307851	224
HVO_RS17935	6280.47204100162	5154.0729723684	0.198618282117931	0.384832232664889	0.285160033018044	200
HVO_RS17940	821.814997402725	685.591300417245	0.0566782884066482	0.221083106575089	0.261464855696894	464
HVO_RS17950	302.865604998063	242.018600689597	0.0534571439184669	0.215737484243269	0.323559815267422	1073
HVO_RS17980	2533.15799078516	1457.36604871513	0.329082759715066	0.453689613682299	0.797573772753541	356
HVO_RS18000	2152.22751034091	3471.0484568446	-0.324598795454544	0.494323679588555	-0.6895409135925	266
HVO_RS18005	18334.775252667	20718.1556359709	-0.0706867727412663	0.0195228752057163	-0.176312996044449	179
HVO_RS18015	3643.26690875359	2605.55271286031	0.281580739581008	0.431158586042203	0.483643249801334	341
HVO_RS18020	915.178793088184	713.591448717948	0.12932864813168	0.324552045484215	0.358955294852381	1046
HVO_RS18025	1379.09017124425	1086.61573216466	0.132694156790672	0.328371711239423	0.343874950157874	638
HVO_RS18030	8090.64893455469	5791.42718038365	0.190918122143895	0.379656517372319	0.482336507828467	479
HVO_RS18105	800.430664638738	649.713629345515	0.0704730642578857	0.243386573859246	0.300972468613877	782
HVO_RS18110	190.074290076555	180.186081181416	0.0160522753486541	0.151012360335455	0.0770758309298001	1199
HVO_RS18115	14845.8478011045	7706.13768694001	0.413167217660674	0.489188050621615	0.945979615361627	176
HVO_RS18120	6964.55506225013	3597.71629632402	0.491310753042255	0.515657899938365	0.952949762668228	194
HVO_RS18125	1369.53713447311	1112.83646187249	0.0707964424810219	0.243896606484362	0.299446789302727	398
HVO_RS18130	1455.46578626805	1185.98920581547	0.0862467814474719	0.267547853064681	0.295390046958282	437
HVO_RS18135	3811.19127381846	2967.24254871067	0.193078070502653	0.381131713086123	0.361119154497976	350
HVO_RS18145	982.198630266312	447.289501366291	0.331041834927959	0.454654247172377	1.13480591434054	779
HVO_RS18150	1930.42468841928	1540.25533023218	0.117619667386719	0.310505757105477	0.325748743299317	392
HVO_RS18155	1499.97591086553	1210.84002085173	0.107396272830566	0.2973203987384	0.308931066463203	527
HVO_RS18160	4556.88093399333	3945.90404127165	0.0874089811033712	0.269265859395286	0.20769080289436	503
HVO_RS18225	941.661579526228	806.670791213909	0.047817388178781	0.206267938069068	0.223228649585166	695
HVO_RS20310	616.586609607035	525.25756054797	0.0468135797357106	0.204567605757418	0.231278535645727	1154
HVO_RS11955	519.319788990632	41.7208952477006	0.678277401292794	0.455930267272126	3.63778118055118	608
HVO_RS11720	524.867417190868	105.359949705943	0.413031971874682	0.489136701000427	2.31662647842927	914
HVO_RS11705	184.765009357515	176.502015998091	0.0118199327181888	0.14351588663065	0.0660069042563272	1286
HVO_RS11700	691.619008366848	565.679385714372	0.0592541460973586	0.225321782751992	0.289992922604399	470
HVO_RS11455	376.610753051892	544.877133448979	-0.117849123108122	9.39099001473487e-05	-0.532856754811328	1133
HVO_RS11405	768.494854810181	1236.30883731284	-0.176764015200017	0.0387097974001445	-0.685931676081571	455
HVO_RS11250	6466.97415561677	9413.05539644831	-0.225855839887283	0.144686660185787	-0.54157224045313	206
HVO_RS11245	1110.25007046466	1474.34431768114	-0.146250811895788	0.009278181609228	-0.409188827236685	392
HVO_RS11065	1742.01190847106	691.145080475702	0.415219192399597	0.489970163086635	1.33369399804928	311
HVO_RS10710	902.709064981455	1129.62919903342	-0.0812098426406893	0.0111333612506467	-0.323516285383062	428
HVO_RS10340	169.20583018953	1018.03435916045	-0.499800543815679	0.824132886545669	-2.58893506969028	542
HVO_RS10305	1173.64427752957	3171.20741880311	-0.489544668919615	0.814263872688307	-1.43403703768565	248
HVO_RS10300	406.762762081086	541.791687618275	-0.080121417492062	0.0118883832193188	-0.413550648505396	908
HVO_RS10190	154.249749736437	2121.18647276156	-0.754883946224156	0.926140322386152	-3.78153139948156	275
HVO_RS10185	211.020041585189	1713.95315829523	-0.616654499380554	0.902076055528078	-3.02187575145029	323
HVO_RS10170	178.259296258853	278.89773444846	-0.120920086859582	0.000363914066760174	-0.645758899591264	848
HVO_RS09940	1439.0357338229	784.939333902281	0.232084149135081	0.405422421550735	0.874449356262312	758
HVO_RS09845	419.804653995408	358.126438302517	0.0474655684151666	0.205672691433761	0.22924913256357	566
HVO_RS09565	748.056169861588	748.209478144254	-7.877576427123e-05	0.122472300609322	-0.000295638812799051	758
HVO_RS09430	266.28979504179	195.949374240141	0.0735320808900157	0.248190429340148	0.442516175827515	1529
HVO_RS09415	1136.6492056436	835.079087157068	0.104016661735056	0.292782362065932	0.444802334930804	368
HVO_RS09410	2213.34632060982	1684.47384883628	0.158793909210167	0.354615408499614	0.393931175149623	260
HVO_RS09405	1488.01927204443	1327.73317013503	0.0693779978053933	0.241653484419697	0.164427969129113	461
HVO_RS09390	701.289922779025	437.823327620886	0.173963641880192	0.367273448458314	0.679662172623838	701
HVO_RS09360	28.2153426520616	96.0254709765189	-0.282295136887823	0.336843366364794	-1.7669372647361	1154
HVO_RS09085	87.4431157869345	254.666481461215	-0.26105129275005	0.259592199307077	-1.54219237496826	911
HVO_RS09065	183.513125895128	444.173866080207	-0.253877401134658	0.234501822526498	-1.2752412548766	1109
HVO_RS09060	867.249903096161	3567.73591681721	-0.611686428564193	0.90029959877398	-2.04048915175598	203
HVO_RS08955	281.844396339438	267.982456119093	0.0138449141217154	0.147104001957828	0.0727603284069576	1760
HVO_RS08935	1208.47839488583	4531.90739190854	-0.708162125930991	0.922002928516047	-1.90692669953684	191
HVO_RS08920	2345.84239168691	2505.74394396215	-0.0289676864309763	0.0734416902029887	-0.0951329092256026	923
HVO_RS08875	307.55405730646	265.625366970632	0.0356408817313402	0.185404091514062	0.211447079078057	1466
HVO_RS08820	464.126436332211	149.940722130824	0.333475105010051	0.455852000195503	1.63012561934431	1430
