	t00_mean	t04_mean	theta	prob	log2FC	length
HVO_RS17060	452.656028555056	317.606360198123	0.223118076812844	0.587112817572661	0.511175365266598	422
HVO_RS17065	233.675648897651	78.2343528853666	0.530676053757457	0.935040348152996	1.57863325766672	725
HVO_RS17070	825.850250755741	184.959640167241	0.967503349314386	0.981965192767676	2.15866970903971	251
HVO_RS17075	184.931126624401	58.68392147483	0.457493562505114	0.916834723054346	1.65595088642375	746
HVO_RS17080	141.661021871855	68.4688969499904	0.299220136638368	0.730915996773181	1.04892217874533	1016
HVO_RS17085	437.007504670388	1303.57471598217	-0.761721476765098	0.960217515223634	-1.57674331482057	842
HVO_RS17200	94.8875141776392	67.4036084968291	0.184304766008804	0.483704554553326	0.493392432856904	1259
HVO_RS17370	44.0572778234055	42.2152836763944	0.0193462171878961	0.0262165454799949	0.0616149489801995	1649
HVO_RS17375	61.4403359302008	11.2268660413448	0.539883845494426	0.937170845140787	2.45223084582097	917
HVO_RS17380	413.956145172651	32.1719879997288	0.840389236957509	0.973024054111346	3.68560094347901	320
HVO_RS17530	197.735815599006	315.22501871627	-0.260208401720411	0.503821485732999	-0.672807834892263	686
HVO_RS20305	7412.41501632127	25988.2380069589	-1.55724630273936	0.995252657766574	-1.80984325862805	176
HVO_RS17855	9233.51205423424	15764.1995191647	-0.488063758269924	0.851437478929177	-0.771700513968159	230
HVO_RS17925	1543.64476090925	2202.70515906473	-0.28382237336654	0.569477764977952	-0.512935614155582	362
HVO_RS17930	2440.65767306289	2800.73821651479	-0.117175111414626	0.119494545136948	-0.198537185059721	224
HVO_RS17935	2335.25466451345	3100.52908225313	-0.264276448145865	0.515233479270469	-0.408934534204774	200
HVO_RS17940	195.408007755382	72.4762493617719	0.34088962267987	0.801813339742423	1.43090938656929	464
HVO_RS17950	64.351657822727	14.3013488140742	0.403518255096367	0.884767307307058	2.16982609610552	1073
HVO_RS17980	712.155021919077	2460.81500903456	-0.933476375485635	0.970549165699837	-1.78887298136866	356
HVO_RS18000	1422.8158888725	4766.15096084974	-1.39824460929303	0.994677725458316	-1.74407565703451	266
HVO_RS18005	11065.1532955811	45315.9808767796	-1.96134819490356	0.999993300925288	-2.03399647441584	179
HVO_RS18015	1130.67158704795	1990.95504980479	-0.427102944525145	0.799429918481492	-0.816280701990317	341
HVO_RS18020	289.623471958662	243.666395965227	0.0918466031430109	0.195940627033466	0.249271224817543	1046
HVO_RS18025	426.367360539716	424.076209757709	0.00331481072688651	0.00751666676735241	0.00777344901776242	638
HVO_RS18030	3104.65387626524	5096.73804129295	-0.381641926674385	0.75952864289453	-0.715141766576598	479
HVO_RS18105	202.416318096455	266.933249852628	-0.137400045390408	0.162622654433389	-0.399153422509476	782
HVO_RS18110	61.6208850648611	120.411612714516	-0.330835489153353	0.683947033425434	-0.966483225772701	1199
HVO_RS18115	4224.99819238624	4033.63672558724	0.0327790642308648	0.0492362935044238	0.0668695652897789	176
HVO_RS18120	1847.51865449781	2009.67527735524	-0.0548775652242323	0.0246720245796763	-0.121373478646853	194
HVO_RS18125	297.940847755257	32.1504773319482	0.685267155975591	0.971313047661689	3.21211386871203	398
HVO_RS18130	387.131919862856	177.021925956296	0.420156869935334	0.898042135172848	1.12889720210546	437
HVO_RS18135	1350.20439221226	1719.21422017685	-0.186211485793538	0.293591481120357	-0.348571503788905	350
HVO_RS18145	198.987258187903	307.421180257949	-0.202458891715294	0.34048681835093	-0.627540511967557	779
HVO_RS18150	549.635753416743	379.695390275727	0.229852405800643	0.602575707506036	0.533633369598654	392
HVO_RS18155	443.055485640166	332.097940642361	0.201657385578264	0.532838438114503	0.415878608024405	527
HVO_RS18160	2031.3584601182	2576.75005877339	-0.17397928374171	0.258544070860632	-0.343107759784659	503
HVO_RS18225	211.021224643205	18.411352486497	0.694165601850478	0.973475714758081	3.51872059820247	695
HVO_RS20310	148.263530127951	62.279756667813	0.307848615681083	0.745528916158023	1.2513285544074	1154
HVO_RS11955	18.7590419850808	84.6631263150757	-0.558830785944936	0.904952940535209	-2.1741476113366	608
HVO_RS11720	34.4465813501505	25.3167720122677	0.139699608862893	0.343583759031172	0.444267342595541	914
HVO_RS11705	57.0162947108387	20.0514726912652	0.444644934553715	0.911807400623287	1.50766608653815	1286
HVO_RS11700	157.824696982121	43.9120761723627	0.440879354969192	0.910079677070162	1.84563332905966	470
HVO_RS11455	169.722704786879	152.220792073379	0.0515189885212512	0.0896722700593199	0.157014143194838	1133
HVO_RS11405	511.933831019253	1396.38232256211	-0.76278167934109	0.960303844882491	-1.44766474365381	455
HVO_RS11250	4604.73866991393	12329.5703582237	-1.05770121184432	0.982069507191301	-1.4209313405034	206
HVO_RS11245	530.798677306813	552.511702060331	-0.0279200917892196	0.00219909534573304	-0.0578402450777547	392
HVO_RS11065	295.641629833886	1244.17594423813	-0.867309467084868	0.968817849329438	-2.07326918016231	311
HVO_RS10710	533.491065773456	1773.00417570919	-0.848134085585637	0.966795292764723	-1.73265991806688	428
HVO_RS10340	316.994092829071	275.689732033752	0.0731293291861186	0.14413125943678	0.201410420372951	542
HVO_RS10305	1278.67715356648	2747.14835337055	-0.803448004935787	0.962499618489383	-1.10328277016061	248
HVO_RS10300	151.983061147172	65.0069886953267	0.298330491033835	0.729415569545986	1.2252438098695	908
HVO_RS10190	608.156101576955	176.497802366208	0.480417141055692	0.923404008512403	1.78479146220434	275
HVO_RS10185	505.894008820279	127.793658210591	0.614107088213066	0.951362862800959	1.98501890976869	323
HVO_RS10170	84.681219660487	63.5936687931417	0.113327886138664	0.259969562872364	0.413158906581614	848
HVO_RS09940	455.342595139405	2343.50893456051	-1.07589758295286	0.982045608414215	-2.36364596700217	758
HVO_RS09845	180.616903091031	386.475647804883	-0.320162602978016	0.661216454822984	-1.09744459722185	566
HVO_RS09565	349.700218731394	829.710648940901	-0.471960135694564	0.837385930723442	-1.24648960416478	758
HVO_RS09430	54.7910923199079	31.9349356035393	0.179408817233269	0.469107633838061	0.778805824287489	1529
HVO_RS09415	237.817109857093	139.878208694473	0.215892910868562	0.569688426323899	0.765681288295894	368
HVO_RS09410	634.027525729357	1530.71108966749	-0.695769641388046	0.946780842768529	-1.27158463044136	260
HVO_RS09405	578.490328520336	1869.08967106098	-0.921794532278296	0.970483917160622	-1.69197104020634	461
HVO_RS09390	177.874156545525	554.785926081649	-0.637527380119903	0.929456352350736	-1.6410742738455	701
HVO_RS09360	34.082074502004	46.8572284056641	-0.17344338900926	0.257025289726445	-0.459258469686692	1154
HVO_RS09085	89.2531569469791	113.328191532642	-0.110524073517852	0.106968603639393	-0.344531686475628	911
HVO_RS09065	132.409388885177	164.535232364244	-0.0921053977356408	0.0757885364667065	-0.313391120749148	1109
HVO_RS09060	1229.36720799465	1704.78951321835	-0.261847739641768	0.508422278193784	-0.471677715309789	203
HVO_RS08955	84.0937604072475	121.389944351586	-0.166749640278607	0.238240068760985	-0.529578252776768	1760
HVO_RS08935	1756.73935143072	4453.79504430693	-1.17032095545633	0.962104822860175	-1.34213501578892	191
HVO_RS08920	1281.05863780191	4366.26736115906	-1.07232430892362	0.982162748719854	-1.76906396051387	923
HVO_RS08875	71.0330574101679	19.2953940649177	0.39914193235613	0.880674364766824	1.88023407527187	1466
HVO_RS08820	59.9267983893509	106.275029413762	-0.262383546061694	0.509925714545015	-0.82652945369116	1430
HVO_RS08815	154.577344951641	537.261594354222	-0.600576640267085	0.920626725369524	-1.79729582044427	905
HVO_RS08670	2443.10070651172	3111.42842020901	-0.218963950360871	0.387673546707745	-0.348863722924874	257
HVO_RS08570	821.2682990812	421.571347106523	0.506826513489497	0.929488199479325	0.962076796376136	287
HVO_RS08515	214.822127133665	94.494716243715	0.449435983017215	0.913830419547424	1.18483703449645	1007
HVO_RS08450	238.4037533118	457.591390332813	-0.412896392259737	0.787796438634444	-0.940652958733695	545
