	t02_mean	t04_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS18145	415.358922191702	362.946555118162	0.0840183238509995	0.159522191290818	0.19460142179333	779	0.840477808709182	HVO_RS18145
HVO_RS18150	734.461178979841	461.764914181765	0.254043512626387	0.663400169193744	0.669527678607082	392	0.336599830806256	HVO_RS18150
HVO_RS18155	624.576647753535	393.817477673158	0.301316026576206	0.756775168687402	0.665351489894873	527	0.243224831312598	HVO_RS18155
HVO_RS18160	2203.78454563635	3077.54786686898	-0.248888024269524	0.520521405424519	-0.481798111121128	503	0.479478594575481	HVO_RS18160
HVO_RS18225	267.436926446661	22.9144972911694	0.677057363630805	0.96822426110043	3.54486613914302	695	0.0317757388995696	HVO_RS18225
HVO_RS20310	188.314397395047	75.5910932482521	0.311561194304632	0.773813398916658	1.31685514440475	1154	0.226186601083342	HVO_RS20310
HVO_RS11955	186.601150303976	100.397547762071	0.219620777966743	0.572863773815614	0.894233848227002	608	0.427136226184386	HVO_RS11955
HVO_RS11720	116.099910742925	30.2959356530402	0.423648489683959	0.907985420565439	1.93817069582347	914	0.0920145794345607	HVO_RS11720
HVO_RS11705	96.0095432805955	23.3883532514135	0.509876714021024	0.937872823345191	2.03738752915345	1286	0.0621271766548089	HVO_RS11705
HVO_RS11700	214.884609096002	51.0069178242209	0.457510720311894	0.924601846284108	2.07479732352526	470	0.0753981537158918	HVO_RS11700
HVO_RS11455	133.020887647017	180.289504997892	-0.149911135314309	0.220625036174324	-0.438662613974968	1133	0.779374963825676	HVO_RS11455
HVO_RS11405	695.686335926875	1664.15571082084	-0.584796310575855	0.922634626333825	-1.25828153918357	455	0.0773653736661751	HVO_RS11405
HVO_RS11250	6649.82154547105	14383.8326550881	-0.727346535895117	0.946502214674351	-1.1130606113076	206	0.0534977853256491	HVO_RS11250
HVO_RS11245	608.964389554754	644.968673618393	-0.0340372864019745	0.00664466105126005	-0.0828712239349672	392	0.99335533894874	HVO_RS11245
HVO_RS11065	641.274505311122	1446.40204985438	-0.58498014241965	0.922628436694802	-1.17345467022771	311	0.0773715633051981	HVO_RS11065
HVO_RS10710	804.788650266911	2112.46351017815	-0.668282379647306	0.928027576971758	-1.39224455665986	428	0.0719724230282419	HVO_RS10710
HVO_RS10340	301.397579218689	324.152508300791	-0.0415452548351449	0.012282073174117	-0.105004907108097	542	0.987717926825883	HVO_RS10340
HVO_RS10305	1731.03551138722	3289.01550187783	-0.489346641695178	0.896141223148529	-0.926020486714169	248	0.103858776851471	HVO_RS10305
HVO_RS10300	112.616849795278	79.019799812194	0.127837994713496	0.284888890795871	0.511136603870387	908	0.715111109204129	HVO_RS10300
HVO_RS10190	329.650174324282	222.964965000044	0.133104554179103	0.300572090388943	0.564118810330091	275	0.699427909611057	HVO_RS10190
HVO_RS10185	301.069516597319	148.441184999281	0.293122549241585	0.742544217223961	1.02020521887387	323	0.257455782776039	HVO_RS10185
HVO_RS10170	121.572929074088	76.8895932631913	0.173328050105605	0.426897940261159	0.660961763495756	848	0.573102059738841	HVO_RS10170
HVO_RS09940	676.00378699322	2772.43356131094	-0.984327907792107	0.967441081241054	-2.03604965434676	758	0.0325589187589459	HVO_RS09940
HVO_RS09845	266.601582527683	458.743780099591	-0.310042181794524	0.670379335015162	-0.783003253050266	566	0.329620664984838	HVO_RS09845
HVO_RS09565	523.27744073514	971.35044558213	-0.318170024915907	0.687651328178912	-0.892415824128459	758	0.312348671821088	HVO_RS09565
HVO_RS09430	52.3163039001712	38.3615251438197	0.105485033603117	0.219935839314999	0.447600540430466	1529	0.780064160685001	HVO_RS09430
HVO_RS09415	248.06942687373	165.874209346031	0.182561650730201	0.456963268107333	0.580654353462788	368	0.543036731892667	HVO_RS09415
HVO_RS09410	977.311836166355	1852.7698988567	-0.409273424549197	0.836848897276051	-0.922792850533145	260	0.163151102723949	HVO_RS09410
HVO_RS09405	816.36416304896	2228.95465759215	-0.661766884437421	0.926587384706313	-1.44908251184025	461	0.0734126152936874	HVO_RS09405
HVO_RS09390	295.580302346948	653.960094060024	-0.407677290606061	0.835269324264558	-1.14565247169795	701	0.164730675735442	HVO_RS09390
HVO_RS09360	80.0245799201723	55.3484214663175	0.153684581016875	0.363817358714017	0.531901026512115	1154	0.636182641285983	HVO_RS09360
HVO_RS09085	118.345410465626	131.089818494585	-0.0466597202176596	0.0169539441004475	-0.14755188020452	911	0.983046055899553	HVO_RS09085
HVO_RS09065	95.3296967512116	197.598687466718	-0.337313356914612	0.726574035710207	-1.05157575173301	1109	0.273425964289793	HVO_RS09065
HVO_RS09060	592.038589047216	2091.96726506685	-0.753533497309547	0.9520427529345	-1.82109715776107	203	0.0479572470655003	HVO_RS09060
HVO_RS08955	70.2558154332415	143.807600223911	-0.349119422096125	0.749258069294051	-1.03345036950946	1760	0.250741930705949	HVO_RS08955
HVO_RS08935	2389.53701476343	5348.41783601593	-0.650336482684964	0.92460428299507	-1.16238106231422	191	0.0753957170049303	HVO_RS08935
HVO_RS08920	2225.48033523314	5240.15676716651	-0.625608339660896	0.922381380637211	-1.23549321987994	923	0.077618619362789	HVO_RS08920
HVO_RS08875	46.00772652549	23.0522892843197	0.225556070579146	0.589911108841159	0.996966137939955	1466	0.410088891158841	HVO_RS08875
HVO_RS08820	126.712345057136	125.149972776344	0.00500240936855573	0.00652350595810469	0.0178991099084162	1430	0.993476494041895	HVO_RS08820
HVO_RS08815	321.244070923067	639.601762977173	-0.315060709090481	0.68109859409701	-0.993504088129967	905	0.31890140590299	HVO_RS08815
HVO_RS08670	2089.70270386656	3721.84905639897	-0.419889802462048	0.846483810555495	-0.83272183779668	257	0.153516189444505	HVO_RS08670
HVO_RS08570	799.16424993616	499.046341892933	0.236467562391902	0.619741390050826	0.67931825485751	287	0.380258609949174	HVO_RS08570
HVO_RS08515	133.279840622012	112.802691241615	0.0719545985280023	0.127032874368369	0.240657092719513	1007	0.872967125631631	HVO_RS08515
HVO_RS08450	248.078411690758	547.690213122444	-0.402770102019521	0.830173321896026	-1.14256390623716	545	0.169826678103974	HVO_RS08450
HVO_RS08200	415.334279832797	418.431433607439	-0.00333196343144085	0.00198815646971517	-0.0107182842174037	533	0.998011843530285	HVO_RS08200
HVO_RS08070	3695.23342418963	15944.098461156	-1.6231689217367	0.975422422786234	-2.10928511857188	281	0.0245775772137656	HVO_RS08070
HVO_RS08065	698.382316031008	1251.73473939331	-0.392370850002343	0.81808176393546	-0.8418399332316	194	0.18191823606454	HVO_RS08065
HVO_RS08060	198.789899887462	428.400543871256	-0.344495493941198	0.740511721638525	-1.10771585330045	800	0.259488278361475	HVO_RS08060
HVO_RS08055	426.484847236139	439.57235621644	-0.0160058757881226	0	-0.043606176754009	191	1	HVO_RS08055
HVO_RS08030	62.6355201098434	56.7829851528739	0.0335975850558358	0.0414583503116109	0.1415223348676	860	0.958541649688389	HVO_RS08030
HVO_RS07955	73.5375379952669	86.43055644448	-0.076525338397104	0.05513736019037	-0.233060572847264	1304	0.94486263980963	HVO_RS07955
HVO_RS07845	5476.49681105526	25243.1031902292	-1.86006872765365	0.999999931444726	-2.20456404036839	269	6.85552736801043e-08	HVO_RS07845
HVO_RS07045	515.673267733516	1577.22992836527	-0.609630718539994	0.92206668267405	-1.61286382741068	530	0.0779333173259495	HVO_RS07045
