	X00_mean	X04_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004043695.1_2264	295.652690823484	90.726841512106	1.30107818480421	0.992858696357213	1.70430206759773	377	0.00714130364278687	lcl|NC_013967.1_cds_WP_004043695.1_2264
lcl|NC_013967.1_cds_WP_004044411.1_1570	16.6583424690827	25.631315905185	-0.236936913465145	0.711513816627096	-0.621662690674106	425	0.288486183372904	lcl|NC_013967.1_cds_WP_004044411.1_1570
lcl|NC_013967.1_cds_WP_004044310.1_1671	89.912544040652	50.5301613204126	0.572360628604983	0.955310669296681	0.831377619799096	512	0.0446893307033189	lcl|NC_013967.1_cds_WP_004044310.1_1671
lcl|NC_013967.1_cds_WP_004044045.1_1924	17.6462629842751	27.6593126297384	-0.333095290578622	0.853095166710447	-0.648402613198356	1700	0.146904833289553	lcl|NC_013967.1_cds_WP_004044045.1_1924
lcl|NC_013967.1_cds_WP_004044956.1_1083	4.01368958079135	5.12253964236167	-0.132599791518805	0.406145856972515	-0.351930201206213	1601	0.593854143027485	lcl|NC_013967.1_cds_WP_004044956.1_1083
lcl|NC_013964.1_cds_WP_004041045.1_196	1.23746614067228	1.49811865480441	-0.0857291387052316	0.192199563145992	-0.275762842467265	1034	0.807800436854008	lcl|NC_013964.1_cds_WP_004041045.1_196
lcl|NC_013964.1_cds_WP_013034952.1_364	7.60515634857727	18.3014148919926	-0.264156045348604	0.757915470327137	-1.26690537570364	269	0.242084529672863	lcl|NC_013964.1_cds_WP_013034952.1_364
lcl|NC_013967.1_cds_WP_004044398.1_1585	37.2896803451292	22.8340836444459	0.392395045876931	0.883906860769647	0.707587536059896	944	0.116093139230353	lcl|NC_013967.1_cds_WP_004044398.1_1585
lcl|NC_013967.1_cds_WP_004044222.1_1755	9.68006516064506	8.62402870956373	0.0704911270497985	0.118078883535304	0.166654778068871	1316	0.881921116464696	lcl|NC_013967.1_cds_WP_004044222.1_1755
lcl|NC_013966.1_cds_WP_004040985.1_1074	5.9375405543162	35.4044160826618	-1.24635955130443	0.991003406307661	-2.57599195523908	431	0.00899659369233874	lcl|NC_013966.1_cds_WP_004040985.1_1074
lcl|NC_013966.1_cds_WP_004040968.1_1056	2.8267083804111	2.29830072561982	0.0870229059707714	0.183154392473373	0.298555471511283	674	0.816845607526627	lcl|NC_013966.1_cds_WP_004040968.1_1056
lcl|NC_013966.1_cds_WP_004043222.1_758	1.29095867339498	0.487976489252775	0.410186616604065	0.896038690607137	1.40355927193348	1337	0.103961309392863	lcl|NC_013966.1_cds_WP_004043222.1_758
lcl|NC_013966.1_cds_WP_004040984.1_1073	594.185469671122	1042.89612487296	-2.42648478015105	0.998626138588235	-0.811610238121926	368	0.00137386141176499	lcl|NC_013966.1_cds_WP_004040984.1_1073
lcl|NC_013966.1_cds_WP_004040983.1_1072	0.63976999472757	4.78259481862688	-0.659940438735152	0.964502649314776	-2.90216833477472	416	0.035497350685224	lcl|NC_013966.1_cds_WP_004040983.1_1072
lcl|NC_013966.1_cds_704	211.1871060023	326.7660099923	-0.573343167412335	0.957767770560828	-0.629736169148853	403	0.0422322294391716	lcl|NC_013966.1_cds_704
lcl|NC_013966.1_cds_WP_004040981.1_1069	21.005285909876	14.7934013832934	0.271471914131363	0.782745621860162	0.505798619699399	1064	0.217254378139838	lcl|NC_013966.1_cds_WP_004040981.1_1069
lcl|NC_013967.1_cds_WP_004043968.1_2002	1.46400456459398	1.13272539647331	0.146304956600282	0.437221406713806	0.370121896858166	1748	0.562778593286194	lcl|NC_013967.1_cds_WP_004043968.1_2002
lcl|NC_013966.1_cds_WP_004043133.1_666	171.03317676643	158.099164267553	0.0772573426275598	0.143342184253405	0.11344646269377	260	0.856657815746595	lcl|NC_013966.1_cds_WP_004043133.1_666
lcl|NC_013966.1_cds_WP_049914690.1_1059	11.752813696695	8.05803031157597	0.177815647625217	0.545577817467877	0.544507050768106	917	0.454422182532123	lcl|NC_013966.1_cds_WP_049914690.1_1059
lcl|NC_013967.1_cds_WP_004042753.1_3602	330.863279074421	248.669941669655	0.527357226275397	0.943189558782945	0.4120030524512	830	0.0568104412170551	lcl|NC_013967.1_cds_WP_004042753.1_3602
lcl|NC_013967.1_cds_WP_013035367.1_2581	53.106679083662	15.7854553757023	0.856356074183267	0.976325227050178	1.75029743646772	899	0.0236747729498219	lcl|NC_013967.1_cds_WP_013035367.1_2581
lcl|NC_013967.1_cds_WP_004043758.1_2202	177.856589395013	170.480038141268	0.0387814071851521	0.0349586779531883	0.0611116046813167	443	0.965041322046812	lcl|NC_013967.1_cds_WP_004043758.1_2202
lcl|NC_013966.1_cds_WP_004043204.1_740	17.2570430225086	38.0776759865929	-0.447053386223396	0.916688083789511	-1.14176014731601	374	0.0833119162104894	lcl|NC_013966.1_cds_WP_004043204.1_740
lcl|NC_013966.1_cds_WP_013035048.1_695	588.562124378084	549.20541712308	0.161537321171492	0.492564931533441	0.0998488481261726	551	0.507435068466559	lcl|NC_013966.1_cds_WP_013035048.1_695
lcl|NC_013967.1_cds_WP_004045322.1_1282	33.9388380271566	71.1075308013272	-0.610041145874056	0.964243405475091	-1.06706518796576	713	0.0357565945249089	lcl|NC_013967.1_cds_WP_004045322.1_1282
lcl|NC_013966.1_cds_WP_004040964.1_1052	20.9531412083976	18.0360536691629	0.0482447814316924	0.0538878577128848	0.216282834956504	182	0.946112142287115	lcl|NC_013966.1_cds_WP_004040964.1_1052
